น้อมเกล้าฯ,น้อมเกล้าน้อมกระหม่อม
พ.อ.พิเศษ,พันเอกพิเศษ
อ.ส.ม.ท.,องค์การสื่อสารมวลชนแห่งประเทศไทย
ส.ป.ส.ท.,สมาคมนักประชาสัมพันธ์แห่งประเทศไทย
กก.ตร.น.,กองกำกับการตำรวจน้ำ
กก.ภ.จว.,กองกำกับการตำรวจภูธรจังหวัด
พล.อ.อ.,พลอากาศเอก
พล.ร.ท.,พลเรือโท
พล.ปตอ.,กองพลทหารปืนใหญ่ต่อสู้อากาศยาน
พล.ร.ต.,พลเรือตรี
กก.ตชด.,กองกำกับการตำรวจตระเวนชายแดน
พล.ต.ต.,พลตำรวจตรี
พล.ต.ท.,พลตำรวจโท
พล.ต.อ.,พลตำรวจเอก
พล.ร.ต.,พลเรือตรี
พล.ร.ท.,พลเรือโท
พล.ร.อ.,พลเรือเอก
พล.อ.ต.,พลอากาศตรี
พล.อ.ท.,พลอากาศโท
พล.ร.อ.,พลเรือเอก
พ.อ.ท.,พันจ่าอากาศโท
พ.อ.อ.,พันจ่าอากาศเอก
พ.อ.ต.,พันจ่าอากาศตรี
ร.ต.ต.,ร้อยตำรวจตรี
ร.ต.ท.,ร้อยตำรวจโท
ร.ต.อ.,ร้อยตำรวจเอก
กง.ทร.,กรมการเงินทหารเรือ
พ.จ.ท.,พันจ่าโท
พ.จ.ต.,พันจ่าตรี
ต.ช.ด.,ตำรวจตระเวนชายแดน
ป.จ.ว.,ปฐมจุลจอมเกล้าวิเศษ
พ.ร.บ.,พระราชบัญญัติ
พ.ร.ฎ.,พระราชกฤษฎีกา
พ.ร.ก.,พระราชกำหนด
ผบก.ภ.,ผู้บังคับการตำรวจภูธร
บ.ด.ท.,บริษัทเดินอากาศไทย จำกัด
ม.ร.ว.,หม่อมราชวงศ์
บีโอไอ,คณะกรรมการส่งเสริมการลงทุน
ส.ภ.อ.,สมาชิกสภาอำเภอ
กง.ทบ.,กรมการเงินทหารบก
ตร.ทล.,ตำรวจทางหลวง
ว.ด.ป.,วัน เดือน ปี
ม.จ.ก.,มหาจักรีบรมราชวงศ์
ร.ม.ภ.,ราชมิตราภรณ์
พ.จ.อ.,พันจ่าเอก
จ.ส.อ.,จ่าสิบเอก
จ.ส.ต.,จ่าสิบตรี
ส.ต.ต.,สิบตำรวจตรี
ส.ต.ท.,สิบตำรวจโท
ส.ต.อ.,สิบตำรวจเอก
น.น.ร.,นักเรียนนายร้อย
จ.ส.ต.,จ่าสิบตำรวจ
จ.ส.ท.,จ่าสิบโท
พ.ต.อ.,พันตำรวจเอก
พ.ต.ท.,พันตำรวจโท
พ.ต.ต.,พันตำรวจตรี
กปปส.,คณะกรรมการประชาชนเพื่อการเปลี่ยนแปลงประเทศไทยให้เป็นประชาธิปไตยที่สมบูรณ์อันมีพระมหากษัตริย์ทรงเป็นประมุข
พล.อ.,พลเอก
สนนท.,สหพันธ์นิสิตนักศึกษาแห่งประเทศไทย
สสวท.,สถาบันส่งเสริมการสอนวิทยาศาสตร์และเทคโนโลยี
บช.ภ.,กองบัญชาการตำรวจภูธร
บช.น.,กองบัญชาการตำรวจนครบาล
เม.ย.,เมษายน
อ.ตร.,อธิบดีกรมตำรวจ
มิ.ย.,มิถุนายน
สพ.ญ.,สัตวแพทย์หญิง
นิด้า,สถาบันบัณฑิตพัฒนบริหารศาสตร์
ก.ตร.,กรมตำรวจ
ตร.ต.,สถานีตำรวจตำบล
กสทช.,คณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์ และกิจการโทรคมนาคมแห่งชาติ
สวทช.,สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ
มี.ค.,มีนาคม
อสมท.,องค์การสื่อสารมวลชนแห่งประเทศไทย
พล.ท.,พลโท
พล.ต.,พลตรี
สน.ภ.,สถานีตำรวจภูธร
กกร.,คณะกรรมการร่วมภาคเอกชน
รมช.,รัฐมนตรีช่วยว่าการ
กวช.,คณะกรรมการวัฒนธรรมแห่งชาติ
คคบ.,คณะกรรมการคุ้มครองผู้บริโภค
ครม.,คณะรัฐมนตรี
ท.ญ.,ทันตแพทย์หญิง
ท.พ.,ทันตแพทย์
กสท.,การสื่อสารแห่งประเทศไทย
พ.ญ.,แพทย์หญิง
น.พ.,นายแพทย์
กกท.,คณะกรรมการการกีฬาแห่งประเทศไทย
รมว.,รัฐมนตรีว่าการกระทรวง
จ.ต.,จ่าตรี
น.ร.,นักเรียนนายเรือ
ททท.,การท่องเที่ยวแห่งประเทศไทย
จ.ท.,จ่าโท
กฟภ.,การไฟฟ้าส่วนภูมิภาค
กฟผ.,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย
จ.อ.,จ่าเอก
ร.ท.,ร้อยโท
ร.ต.,ร้อยตรี
กสม.,สำนักงานคณะกรรมการสิทธิมนุษยชนแห่งชาติ
กทพ.,การทางพิเศษแห่งประเทศไทย
มทร.,มหาวิทยาลัยเทคโนโลยีราชมงคล
ม.อ.,มหาวิทยาลัยสงขลานครินทร์
รมว.,รัฐมนตรีว่าการ
ปปป.,คณะกรรมการป้องกันและปราบปรามการทุจริตและประพฤติมิชอบในวงราชการ
ครน.,คูณร่วมน้อย
สพม.,สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา
ร.ว.,รัตนวราภรณ์
ปปส.,คณะกรรมการป้องกันและปราบปรามยาเสพติด
ท.อ.,ทหารอากาศ
รธน.,รัฐธรรมนูญ
น.ร.,นพรัตนราชวราภรณ์
ป.จ.,ปฐมจุลจอมเกล้า
ปชส.,ประชาสัมพันธ์
พ.อ.,พันเอก
ปตท.,การปิโตรเลียมแห่งประเทศไทย
ร.ศ.,รัตนโกสินทร์ศก
ร.อ.,ร้อยเอก
ม.จ.,หม่อมเจ้า
อบต.,องค์การบริหารส่วนตำบล
ม.ล.,หม่อมหลวง
หรม.,หารร่วมมาก
ท.ส.,นายทหารคนสนิท
สดร.,สถาบันวิจัยดาราศาสตร์แห่งชาติ(องค์การมหาชน)
ด.ต.,ดาบตำรวจ
มมส.,มหาวิทยาลัยมหาสารคาม
ภ.พ.,ภาษีมูลค่าเพิ่ม
สวป.,สารวัตรปราบปราม
กฟน.,การไฟฟ้านครหลวง
กยศ.,กองทุนเงินกู้ยืมเพื่อการศึกษา
นสพ.,หนังสือพิมพ์
ธกส.,ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร
รัฐฯ,รัฐบาล
ส.ส.,สมาชิกสภาผู้แทนราษฎร
จ.อ.,จ่าอากาศเอก
รมต.,รัฐมนตรี
พ.ต.,พันตรี
ธสอ.,ธนาคารเพื่อการส่งออกและนำเข้าแห่งประเทศไทย
ส.ว.,สมาชิกวุฒิสภา
สวท.,สถานีวิทยุกระจายเสียงแห่งประเทศไทย
จขกท,เจ้าของกระทู้
กทม.,กรุงเทพมหานคร
ร.น.,ราชนาวี
ธอส.,ธนาคารอาคารสงเคราะห์
คสช.,คณะรักษาความสงบแห่งชาติ
กกต.,คณะกรรมการการเลือกตั้ง
กกท.,การกีฬาแห่งประเทศไทย
กคช.,การเคหะแห่งชาติ
ก.จ.,คณะกรรมการข้าราชการส่วนจังหวัด
ก.ต.,คณะกรรมการตุลาการ
กทท.,การท่าเรือแห่งประเทศไทย
กทธ.,กรมทรัพยากรธรณี
กปส.,กรมประชาสัมพันธ์
กปน.,การประปานครหลวง
พ.ท.,พันโท
น.ต.,นาวาอากาศตรี
สทท.,สถานีวิทยุโทรทัศน์แห่งประเทศไทย
ผญบ.,ผู้ใหญ่บ้าน
ด.ช.,เด็กชาย
ด.ญ.,เด็กหญิง
นศท.,นักศึกษาวิชาทหาร
จ.ท.,จ่าอากาศโท
จ.ต.,จ่าอากาศตรี
บ.ก.,บรรณาธิการ
ท.บ.,ทหารบก
ร.อ.,เรืออากาศเอก
ส.ต.,สิบตรี
ส.ท.,สิบโท
ส.อ.,สิบเอก
ร.ท.,เรืออากาศโท
ร.ต.,เรืออากาศตรี
น.อ.,นาวาอากาศเอก
สวญ.,สารวัตรใหญ่
ปธน.,ประธานาธิบดี
น.ท.,นาวาอากาศโท
กปภ.,การประปาส่วนภูมิภาค
คตง.,คณะกรรมการตรวจเงินแผ่นดิน
ธปท.,ธนาคารแห่งประเทศไทย
นตท.,นักเรียนเตรียมทหาร
ป.ล.,ปัจฉิมลิขิต
สนง.,สำนักงาน
ตลท.,ตลาดหลักทรัพย์แห่งประเทศไทย
กรพ.,กองรบพิเศษ
ค.บ.,ครุศาสตรบัณฑิต
จนท.,เจ้าหน้าที่
ทรท.,โทรทัศน์รวมการเฉพาะกิจแห่งประเทศไทย
ดคก.,เดคากรัม
สพฐ.,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน
ดคม.,เดคาเมตร
ดคล.,เดคาลิตร
สวล.,สำนักงานคณะกรรมการสิ่งแวดล้อม
นปช.,แนวร่วมประชาธิปไตยต่อต้านเผด็จการแห่งชาติ
สปจ.,สำนักงานการประถมศึกษาจังหวัด
ฮ.ศ.,ฮิจเราะห์ศักราช
อจญ.,อาจารย์ใหญ่
สอท.,สถานเอกอัครราชทูต
อสม.,อาสาสมัครสาธารณสุข
สมอ.,สำนักงานมาตรฐานผลิตภัณฑ์อุตสาหกรรม
ม.ศ.,มหาศักราช
กปร.,คณะกรรมการประสานงานโครงการอันเนื่องมาจากพระราชดำริ
กกท.,การกีฬาแห่งประเทศไทย
กกน.,กองกำกับการตำรวจนครบาล
มทส.,มหาวิทยาลัยเทคโนโลยีสุรนารี
มมส.,มหาวิทยาลัยมหาสารคาม
มรภ.,มหาวิทยาลัยราชภัฏ
ปชป.,พรรคประชาธิปัตย์
ม.ค.,มกราคม
ก.พ.,กุมภาพันธ์
พ.ค.,พฤษภาคม
ก.ค.,กรกฎาคม
ส.ค.,สิงหาคม
ก.ย.,กันยายน
พ.ย.,พฤศจิกายน
ธ.ค.,ธันวาคม
พ.ศ.,พุทธศักราช
กทม.,กรุงเทพมหานคร
ปณ.,ที่ทำการไปรษณีย์
รพ.,โรงพยาบาล
กม.,กฎหมาย
อต.,กรมอุตุนิยมวิทยา
ปท.,ไปรษณีย์โทรเลข
งป.,งบประมาณ
อา.,วันอาทิตย์
สภ.,สถานีตำรวจภูธร
พฤ.,วันพฤหัสบดี
ชม.,ชั่วโมง
มช.,มหาวิทยาลัยเชียงใหม่
มธ.,มหาวิทยาลัยธรรมศาสตร์
มข.,มหาวิทยาลัยขอนแก่น
คค.,กระทรวงคมนาคม
พลฯ,พลทหาร
อก.,อัยการ
ผช.,ผู้ช่วย
ผอ.,ผู้อำนวยการ
รศ.,รองศาสตราจารย์
ตร.,ตำรวจ
พลฯ,พลทหาร
นร.,นักเรียน
นศ.,นักศึกษา
ดก.,เดซิกรัม
จฬ.,จุฬาลงกรณ์มหาวิทยาลัย
สผ.,สำนักงานนโยบายและแผนสิ่งแวดล้อม
มศว,มหาวิทยาลัยศรีนครินทรวิโรฒ
สน.,สถานีตำรวจนครบาล
อส.,อาสาสมัคร
ศธ.,กระทรวงศึกษาธิการ
สธ.,กระทรวงสาธารณสุข
อย.,คณะกรรมการอาหารและยา
ทร.,ทหารเรือ
ผบ.,ผู้บัญชาการ
สจ.,สมาชิกสภาจังหวัด
สต.,สตางค์
ผศ.,ผู้ช่วยศาสตราจารย์
ศจ.,ศาสตราจารย์
กญ.,กองการศึกษาผู้ใหญ่
ดร.,ด็อกเตอร์
หน.,หัวหน้า
มก.,มหาวิทยาลัยเกษตรศาสตร์
ร.,รัชกาล
บ.,บาท
ธ.,ธนาคาร
จ.,จังหวัด
อ.,อำเภอ
ต.,ตำบล
ม.,มหาวิทยาลัย
บ.,บริษัท
น.,นาฬิกา
ฮ.,เฮลิคอปเตอร์
อ.,อาจารย์
